track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date
Palagi - TJxKZ Version,4WgViu9gw3qYOr3iF9OuLG,spotify:track:4WgViu9gw3qYOr3iF9OuLG,TJ Monterde,Palagi (TJxKZ Version),spotify:album:6HKsZL1QL7e2Mp5HGNn6N0,0.33,0.313,6,-10.906,1,0.0353,0.536,5.7e-06,0.277,0.153,160.005,spotify:track:4WgViu9gw3qYOr3iF9OuLG,241000,4,77,2024-08
everytime,0WdR2AyLW1Drd3OUdwezM0,spotify:track:0WdR2AyLW1Drd3OUdwezM0,Ariana Grande,Sweetener,spotify:album:3tx8gQqWbGwqIGZHqDNrGe,0.71,0.614,10,-6.757,0,0.0431,0.186,0.0,0.0974,0.658,148.152,spotify:track:0WdR2AyLW1Drd3OUdwezM0,172106,4,71,2018-08
Hangin,1y2t6CYXp7llG3fnhTkQOl,spotify:track:1y2t6CYXp7llG3fnhTkQOl,Yno,Hangin,spotify:album:7CwjUB296r3lpbcvC8h7cj,0.535,0.511,10,-7.235,1,0.0279,0.806,0.000277,0.101,0.18,125.83,spotify:track:1y2t6CYXp7llG3fnhTkQOl,299362,3,60,2021-11
From The Start,43iIQbw5hx986dUEZbr3eN,spotify:track:43iIQbw5hx986dUEZbr3eN,Laufey,Bewitched,spotify:album:1rpCHilZQkw84A3Y9czvMO,0.554,0.339,1,-10.088,1,0.0779,0.886,0.00128,0.11,0.83,80.994,spotify:track:43iIQbw5hx986dUEZbr3eN,169573,4,81,2023-09
Oo,062z5ZMd0a0snMBZ75tOco,spotify:track:062z5ZMd0a0snMBZ75tOco,Up Dharma Down,Fragmented,spotify:album:2VPXKGGUbSUbSM2ZwuW9lG,0.589,0.626,11,-7.483,0,0.149,0.465,4.16e-06,0.204,0.598,155.223,spotify:track:062z5ZMd0a0snMBZ75tOco,239000,4,69,2006-01
Gusto With Ya,0hr2Itwh84Zn3PiRRjHTnw,spotify:track:0hr2Itwh84Zn3PiRRjHTnw,DENȲ,Gusto With Ya,spotify:album:3hQTzUwRIXnetrF1WrSrfk,0.805,0.323,0,-11.158,1,0.0517,0.812,0.0167,0.109,0.605,119.953,spotify:track:0hr2Itwh84Zn3PiRRjHTnw,162000,4,62,2021-03
Always,2LlOeW5rVcvl3QcPNPcDus,spotify:track:2LlOeW5rVcvl3QcPNPcDus,Daniel Caesar,NEVER ENOUGH,spotify:album:7ivbFszr1TbVadj89BIy1y,0.578,0.436,2,-8.202,1,0.0461,0.666,1.9e-06,0.106,0.199,135.86,spotify:track:2LlOeW5rVcvl3QcPNPcDus,225312,4,79,2023-04
Gusto,0uemlnPoeZOYIDaMFZ7lvi,spotify:track:0uemlnPoeZOYIDaMFZ7lvi,Zack Tabudlo,3rd Time’s A Charm,spotify:album:5bWsdwr9OileEY1gHx1Do3,0.608,0.695,10,-5.307,0,0.0333,0.038,0.0,0.0939,0.203,83.965,spotify:track:0uemlnPoeZOYIDaMFZ7lvi,260000,4,64,2023-11
PAREHAS TAYO,6KDLUcxVRvXIXMexgf9x9b,spotify:track:6KDLUcxVRvXIXMexgf9x9b,Nateman,PAREHAS TAYO,spotify:album:3as5iLN6ugZO7Kz4xVaHdk,0.872,0.184,7,-16.546,1,0.151,0.5,0.0371,0.0551,0.288,120.031,spotify:track:6KDLUcxVRvXIXMexgf9x9b,256000,4,67,2023-10
My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,The Land Is Inhospitable and So Are We,spotify:album:2Cn1d2KgbkAqbZCJ1RzdkA,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,137773,4,88,2023-09
we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,spotify:track:6IPwKM3fUUzlElbvKw2sKl,girl in red,we fell in love in october / October Passed Me By,spotify:album:7vud0sY43VTv28MbWiglDa,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,spotify:track:6IPwKM3fUUzlElbvKw2sKl,184153,4,84,2018-11
Gusto Ko Sakin Ka Lang,52F5Y4EgcZ2RggVqpqSJBe,spotify:track:52F5Y4EgcZ2RggVqpqSJBe,Robledo Timido,Gusto Ko Sakin Ka Lang,spotify:album:2CKTmUw2QrxtchdI1yVfQB,0.756,0.786,2,-4.541,1,0.0726,0.29,0.0,0.278,0.599,130.001,spotify:track:52F5Y4EgcZ2RggVqpqSJBe,193846,4,74,2024-07
Same Ground,5iNGxZ1waiyMFylg4QAHk6,spotify:track:5iNGxZ1waiyMFylg4QAHk6,Kitchie Nadal,Kitchie Nadal,spotify:album:7beVKW0o7iRoM0eRT3kGfk,0.616,0.525,2,-10.636,1,0.0269,0.308,3.58e-06,0.161,0.456,155.889,spotify:track:5iNGxZ1waiyMFylg4QAHk6,267680,4,64,2004-01
Like the Movies,1hUXDEqjNIIbfjTcaz3jzb,spotify:track:1hUXDEqjNIIbfjTcaz3jzb,Laufey,Typical of Me EP,spotify:album:7pooeoqY4uJkTaW70qxm3z,0.575,0.274,0,-10.242,1,0.035,0.908,8.67e-05,0.146,0.214,87.13,spotify:track:1hUXDEqjNIIbfjTcaz3jzb,162758,4,67,2021-04
Yakap sa Dilim,6uDYCYObYXJXoMnCzz8083,spotify:track:6uDYCYObYXJXoMnCzz8083,Orange & Lemons,Kami Napo Muna,spotify:album:4E2MHUH6EUY2IDfwI4YNTv,0.645,0.723,5,-2.714,1,0.027,0.103,0.0,0.113,0.588,114.025,spotify:track:6uDYCYObYXJXoMnCzz8083,188040,3,65,2006-01
tila tala,4ESVeOSa7asoWhkAg6aTB2,spotify:track:4ESVeOSa7asoWhkAg6aTB2,syd hartha,tila tala,spotify:album:5leaLgCdTTc6idyVEdBEGP,0.434,0.352,8,-7.397,1,0.0424,0.825,2.66e-05,0.104,0.234,75.378,spotify:track:4ESVeOSa7asoWhkAg6aTB2,281296,4,59,2018-03
Dating Tayo,1l7TuyIge9siMw39a0dqXd,spotify:track:1l7TuyIge9siMw39a0dqXd,TJ Monterde,TJ Monterde,spotify:album:3BNVpFNizGDG0IxfsEYhXU,0.554,0.329,7,-10.678,1,0.0446,0.65,7.86e-05,0.0924,0.334,139.676,spotify:track:1l7TuyIge9siMw39a0dqXd,239480,4,72,2014-06
panaginip,1AuxZd50Dpaz0cCWphYryh,spotify:track:1AuxZd50Dpaz0cCWphYryh,iluna,panaginip,spotify:album:1nDqiuWaIdg3553bRee5bA,0.379,0.354,5,-12.412,0,0.037,0.194,6.46e-05,0.0552,0.126,129.299,spotify:track:1AuxZd50Dpaz0cCWphYryh,332406,4,60,2019-12
An Art Gallery Could Never Be As Unique As You,22Nd3GuO7sHopPjdKccRcq,spotify:track:22Nd3GuO7sHopPjdKccRcq,mrld,An Art Gallery Could Never Be As Unique As You,spotify:album:0FRaoawfqep3bJcCqcQZpD,0.48,0.299,7,-12.077,1,0.0525,0.838,0.0,0.133,0.196,121.75,spotify:track:22Nd3GuO7sHopPjdKccRcq,158677,4,69,2019-12
NVMD,7ArVzlFsFsQXNseVXmdOyk,spotify:track:7ArVzlFsFsQXNseVXmdOyk,Denise Julia,NVMD,spotify:album:7loTzM9oCoxuoHXWs3crbd,0.758,0.674,6,-4.533,1,0.108,0.0903,0.0,0.0902,0.424,97.977,spotify:track:7ArVzlFsFsQXNseVXmdOyk,181224,4,72,2022-02
Musika,7bAVndaTleEnfizm6h2d3i,spotify:track:7bAVndaTleEnfizm6h2d3i,Dionela,Musika,spotify:album:3A0K1ImYGMKTYDLe5EgLWv,0.63,0.414,9,-7.14,1,0.029,0.554,0.0,0.122,0.501,134.774,spotify:track:7bAVndaTleEnfizm6h2d3i,246666,3,73,2022-09
Titig,1x8pFCRfBnDqckyB6mlZci,spotify:track:1x8pFCRfBnDqckyB6mlZci,MC Einstein,Titig,spotify:album:4tk561oaKN5jhKhu8XuP1W,0.797,0.447,8,-8.452,1,0.28,0.146,0.0,0.0877,0.645,79.003,spotify:track:1x8pFCRfBnDqckyB6mlZci,259114,4,63,2019-12
Glue Song,3iBgrkexCzVuPy4O9vx7Mf,spotify:track:3iBgrkexCzVuPy4O9vx7Mf,beabadoobee,Glue Song,spotify:album:3KmSMUwyrakryureTNI4U8,0.62,0.409,1,-10.146,1,0.0282,0.77,0.0542,0.105,0.582,113.946,spotify:track:3iBgrkexCzVuPy4O9vx7Mf,135066,3,79,2023-02
i'm yours,37vVp2sWHuuIBOSl1NswP6,spotify:track:37vVp2sWHuuIBOSl1NswP6,Isabel LaRosa,i'm yours,spotify:album:3Q25UtV9pHu7onNcKwmmZ3,0.398,0.705,5,-7.07,0,0.0756,0.204,5.13e-05,0.443,0.635,111.487,spotify:track:37vVp2sWHuuIBOSl1NswP6,145667,4,80,2022-10
Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,spotify:track:030OCtLMrljNhp8OWHBWW3,USHER,Raymond v Raymond (Expanded Edition),spotify:album:6A1F3Fkq5dYeYYNkXflcTX,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975,spotify:track:030OCtLMrljNhp8OWHBWW3,224093,4,75,2010-03
"When You Wish Upon a Star - From ""Disney 100""",2xdvhChCtpYxyNApVJEUG1,spotify:track:2xdvhChCtpYxyNApVJEUG1,Sara Bareilles,"When You Wish Upon a Star (From ""Disney 100"")",spotify:album:5AGZKi74CsJrmJ7hJAFNrH,0.198,0.249,10,-10.31,1,0.0324,0.486,0.0,0.0952,0.0819,88.614,spotify:track:2xdvhChCtpYxyNApVJEUG1,234004,4,46,2023-05
"Part of Your World - From ""The Little Mermaid""",2pcSENGQmdptFCBQ3HpKHe,spotify:track:2pcSENGQmdptFCBQ3HpKHe,Halle,"Part of Your World (From ""The Little Mermaid"")",spotify:album:1cehuxhFNt8Q8Eobacb0YR,0.422,0.195,6,-13.353,1,0.0451,0.879,0.0,0.12,0.205,105.931,spotify:track:2pcSENGQmdptFCBQ3HpKHe,214373,4,55,2023-04
"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,Idina Menzel,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),spotify:album:7lZs5r4oQV2nutddffLrg0,0.543,0.485,8,-6.79,1,0.0305,0.555,0.0,0.12,0.372,136.961,spotify:track:0qcr5FMsEO85NAQjrlDRKo,223840,4,74,2013-01
We Don't Talk About Bruno,52xJxFP6TqMuO4Yt0eOkMz,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,Carolina Gaitán,Encanto (Original Motion Picture Soundtrack),spotify:album:25L8ck3KGcmCo3901ztPzR,0.577,0.45,0,-8.516,0,0.0834,0.357,0.0,0.111,0.83,205.863,spotify:track:52xJxFP6TqMuO4Yt0eOkMz,216120,4,70,2021-11
"All I Want - From ""High School Musical: The Musical: The Series""",4Yxc55NX3tAXC2mHRAhtcW,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,Olivia Rodrigo,"All I Want (From ""High School Musical: The Musical: The Series"")",spotify:album:5p3gSxNiXeYlPlztVAUjB2,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,spotify:track:4Yxc55NX3tAXC2mHRAhtcW,177322,3,75,2019-11
How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,spotify:track:6mb6lVLNrcUgLnEN8QnDJd,Auli'i Cravalho,Moana (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:6pZj4nvx6lV3ulIK3BSjvs,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72,spotify:track:6mb6lVLNrcUgLnEN8QnDJd,163386,4,71,2016-11
Into the Unknown,3Z0oQ8r78OUaHvGPiDBR3W,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:4M07HWIlZr7zoXoxDHR5mz,0.321,0.405,10,-8.533,0,0.0412,0.849,0.000544,0.138,0.274,146.072,spotify:track:3Z0oQ8r78OUaHvGPiDBR3W,194848,5,72,2019-11
Surface Pressure,760jhRscwGbIIe1m1IIQpU,spotify:track:760jhRscwGbIIe1m1IIQpU,Jessica Darrow,Encanto (Original Motion Picture Soundtrack),spotify:album:25L8ck3KGcmCo3901ztPzR,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088,spotify:track:760jhRscwGbIIe1m1IIQpU,202226,4,68,2021-11
You're Welcome,6U4VqEHy4n5VeiH4pQPL24,spotify:track:6U4VqEHy4n5VeiH4pQPL24,Dwayne Johnson,Moana (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:6pZj4nvx6lV3ulIK3BSjvs,0.788,0.745,5,-7.072,1,0.258,0.29,0.0,0.0373,0.672,135.278,spotify:track:6U4VqEHy4n5VeiH4pQPL24,163893,4,72,2016-11
Try Everything,1N3dZ7TTWO6VcD4Y3hHYLZ,spotify:track:1N3dZ7TTWO6VcD4Y3hHYLZ,Shakira,Zootopia (Original Motion Picture Soundtrack),spotify:album:3X6netsswLt0U97Doga56C,0.705,0.609,1,-4.897,1,0.0307,0.0257,0.0,0.0846,0.476,115.474,spotify:track:1N3dZ7TTWO6VcD4Y3hHYLZ,196853,4,66,2016-02
Under the Sea,7Cux0Rc1hY5Pt5T28apnzv,spotify:track:7Cux0Rc1hY5Pt5T28apnzv,Daveed Diggs,The Little Mermaid (Original Motion Picture Soundtrack),spotify:album:40tsP3taBOC9HqNaLCZZKP,0.623,0.606,5,-7.995,1,0.177,0.659,0.0,0.318,0.931,121.252,spotify:track:7Cux0Rc1hY5Pt5T28apnzv,184946,5,52,2023-05
The Family Madrigal,4b1yxSdlumA8N4fEk4UOZp,spotify:track:4b1yxSdlumA8N4fEk4UOZp,Stephanie Beatriz,Encanto (Original Motion Picture Soundtrack),spotify:album:25L8ck3KGcmCo3901ztPzR,0.594,0.628,1,-6.345,1,0.359,0.12,0.0,0.0582,0.556,141.391,spotify:track:4b1yxSdlumA8N4fEk4UOZp,257213,4,65,2021-11
"I See the Light - From ""Tangled"" / Soundtrack Version",6klpXs2uAjagnZMFkt4qkl,spotify:track:6klpXs2uAjagnZMFkt4qkl,Mandy Moore,Tangled,spotify:album:1l0aFrH24oPrQSqGtfeFyE,0.243,0.139,5,-14.392,1,0.0308,0.83,0.0,0.0725,0.169,91.994,spotify:track:6klpXs2uAjagnZMFkt4qkl,224240,4,67,2010-01
Show Yourself,50WeOnXhM1H7AZEeIDoWfZ,spotify:track:50WeOnXhM1H7AZEeIDoWfZ,Idina Menzel,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:4M07HWIlZr7zoXoxDHR5mz,0.321,0.432,6,-7.071,1,0.03,0.726,9.08e-05,0.0607,0.172,123.304,spotify:track:50WeOnXhM1H7AZEeIDoWfZ,260906,4,67,2019-11
Kiss the Girl,2f2F4z8BOi15hum9aEVDUP,spotify:track:2f2F4z8BOi15hum9aEVDUP,Daveed Diggs,The Little Mermaid (Original Motion Picture Soundtrack),spotify:album:40tsP3taBOC9HqNaLCZZKP,0.675,0.239,2,-13.55,1,0.0353,0.873,1.85e-06,0.0695,0.67,131.007,spotify:track:2f2F4z8BOi15hum9aEVDUP,196586,4,47,2023-05
A Whole New World,1hwdPQtFHISvZ9SXMkNrIK,spotify:track:1hwdPQtFHISvZ9SXMkNrIK,Lea Salonga,Aladdin Special Edition,spotify:album:7bt2aty3lUo6Q1Ud8pthRz,0.285,0.227,0,-15.793,1,0.0354,0.846,2.11e-06,0.1,0.135,115.8,spotify:track:1hwdPQtFHISvZ9SXMkNrIK,160800,4,63,2004-01
Life is a Highway,5gB2IrxOCX2j9bMnHKP38i,spotify:track:5gB2IrxOCX2j9bMnHKP38i,Rascal Flatts,Cars (Original Motion Picture Soundtrack),spotify:album:3Xiz5kq12VOzTw9Kun7m0f,0.562,0.934,5,-5.562,1,0.0607,0.00211,0.0,0.199,0.558,103.042,spotify:track:5gB2IrxOCX2j9bMnHKP38i,275640,4,70,2006-01
Speechless (Full),0XPsOSYzDJZJArevQNm2AR,spotify:track:0XPsOSYzDJZJArevQNm2AR,Naomi Scott,Aladdin (Original Motion Picture Soundtrack),spotify:album:4WGcPCflN9FNccSu7tE9iS,0.474,0.489,6,-7.625,0,0.0342,0.467,0.0,0.119,0.23,124.844,spotify:track:0XPsOSYzDJZJArevQNm2AR,208800,4,66,2019-05
The Scuttlebutt,2wLDS3oCMufFrvwN2IK3Bt,spotify:track:2wLDS3oCMufFrvwN2IK3Bt,Awkwafina,The Little Mermaid (Original Motion Picture Soundtrack),spotify:album:40tsP3taBOC9HqNaLCZZKP,0.862,0.624,8,-9.547,1,0.271,0.175,0.0,0.0736,0.863,149.898,spotify:track:2wLDS3oCMufFrvwN2IK3Bt,121813,4,45,2023-05
Some Things Never Change,4Xbotg4PCLJw9cDx2dtZLK,spotify:track:4Xbotg4PCLJw9cDx2dtZLK,Kristen Bell,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:4M07HWIlZr7zoXoxDHR5mz,0.567,0.543,5,-4.485,1,0.0313,0.613,0.0,0.106,0.299,89.937,spotify:track:4Xbotg4PCLJw9cDx2dtZLK,209964,4,63,2019-11
"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",2yi7HZrBOC4bMUSTcs4VK6,spotify:track:2yi7HZrBOC4bMUSTcs4VK6,Kristen Bell,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),spotify:album:7lZs5r4oQV2nutddffLrg0,0.352,0.121,3,-15.551,1,0.047,0.85,0.000178,0.257,0.166,148.56,spotify:track:2yi7HZrBOC4bMUSTcs4VK6,206506,5,69,2013-01
You've Got a Friend in Me,2stkLJ0JNcXkIRDNF3ld6c,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,Randy Newman,Toy Story (Original Motion Picture Soundtrack),spotify:album:47OFnLtLVi5WrPYNXAwFGh,0.691,0.333,3,-12.135,1,0.0307,0.817,5.03e-06,0.285,0.472,115.845,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,124160,4,67,1995-01
